level,slip_rt_dirt_l,slip_rt_dirt_m,slip_rt_dirt_h,slip_rt_sand_l,slip_rt_sand_m,slip_rt_sand_h,slip_rt_ice_l,slip_rt_ice_m,slip_rt_ice_h
1,0.95,0.95,0.95,0.915,0.925,0.935,0.915,0.925,0.935
2,0.95,0.95,0.95,0.914,0.924,0.934,0.914,0.924,0.934
3,0.95,0.95,0.95,0.913,0.923,0.933,0.913,0.923,0.933
4,0.95,0.95,0.95,0.912,0.922,0.932,0.912,0.922,0.932
5,0.95,0.95,0.95,0.911,0.921,0.931,0.911,0.921,0.931
6,0.95,0.95,0.95,0.91,0.92,0.93,0.91,0.92,0.93
7,0.95,0.95,0.95,0.909,0.919,0.929,0.909,0.919,0.929
8,0.95,0.95,0.95,0.908,0.918,0.928,0.908,0.918,0.928
9,0.95,0.95,0.95,0.907,0.917,0.927,0.907,0.917,0.927
10,0.95,0.95,0.95,0.906,0.916,0.926,0.906,0.916,0.926
11,0.95,0.95,0.95,0.905,0.915,0.925,0.905,0.915,0.925
12,0.95,0.95,0.95,0.903,0.913,0.923,0.903,0.913,0.923
13,0.95,0.95,0.95,0.901,0.911,0.921,0.901,0.911,0.921
14,0.95,0.95,0.95,0.899,0.909,0.919,0.899,0.909,0.919
15,0.95,0.95,0.95,0.897,0.907,0.917,0.897,0.907,0.917
16,0.95,0.95,0.95,0.895,0.905,0.915,0.895,0.905,0.915
17,0.95,0.95,0.95,0.885,0.895,0.905,0.885,0.895,0.905
18,0.95,0.95,0.95,0.875,0.885,0.895,0.875,0.885,0.895
19,0.95,0.95,0.95,0.865,0.875,0.885,0.865,0.875,0.885
20,0.95,0.95,0.95,0.855,0.865,0.875,0.855,0.865,0.875
Default,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
