level,drive_dir_rot_h,drift_dir_rot_h,auto_drift_charge_rt,float_drive_dir_rot_h,float_drift_dir_rot_h,float_auto_drift_charge_rt,drive_dir_rot_h_2,drift_dir_rot_h_2,auto_drift_charge_rt_2,wing_stick_lr_roll,wing_stick_lr_move
1,0.0065,0.0145,1.5,0.0085,0.0125,1.5,0.0065,0.0145,1.5,0.15,0.4
2,0.007,0.015,1.5,0.009,0.013,1.5,0.007,0.015,1.5,0.155,0.41
3,0.0075,0.0155,1.5,0.0095,0.0135,1.5,0.0075,0.0155,1.5,0.16,0.42
4,0.008,0.016,1.5,0.01,0.014,1.5,0.008,0.016,1.5,0.165,0.43
5,0.0085,0.0165,1.5,0.0105,0.0145,1.5,0.0085,0.0165,1.5,0.17,0.44
6,0.009,0.017,1.2,0.011,0.015,1.2,0.009,0.017,1.2,0.175,0.45
7,0.0095,0.0175,1.2,0.0115,0.0155,1.2,0.0095,0.0175,1.2,0.18,0.46
8,0.01,0.018,1.2,0.012,0.016,1.2,0.01,0.018,1.2,0.185,0.47
9,0.0105,0.0185,1.2,0.0125,0.0165,1.2,0.0105,0.0185,1.2,0.19,0.48
10,0.011,0.019,1.2,0.013,0.017,1.2,0.011,0.019,1.2,0.195,0.49
11,0.0114,0.0193,0.9,0.0134,0.0173,0.9,0.0114,0.0193,0.9,0.2,0.5
12,0.0118,0.0196,0.9,0.0138,0.0176,0.9,0.0118,0.0196,0.9,0.205,0.51
13,0.0122,0.0199,0.9,0.0142,0.0179,0.9,0.0122,0.0199,0.9,0.21,0.52
14,0.0126,0.0202,0.9,0.0146,0.0182,0.9,0.0126,0.0202,0.9,0.215,0.53
15,0.013,0.0205,0.9,0.015,0.0185,0.9,0.013,0.0205,0.9,0.22,0.54
16,0.0132,0.0208,0.6,0.0152,0.0188,0.6,0.0132,0.0208,0.6,0.225,0.55
17,0.0134,0.0211,0.6,0.0154,0.0191,0.6,0.0134,0.0211,0.6,0.23,0.56
18,0.0136,0.0214,0.6,0.0156,0.0194,0.6,0.0136,0.0214,0.6,0.235,0.57
19,0.0138,0.0217,0.6,0.0158,0.0197,0.6,0.0138,0.0217,0.6,0.24,0.58
20,0.014,0.022,0.6,0.016,0.02,0.6,0.014,0.022,0.6,0.245,0.59
Default,0.01,0.018,1,0.012,0.016,1,0.012,0.016,1,0.2,0.5
