level,brake_rt_dirt_l,brake_rt_dirt_m,brake_rt_dirt_h,brake_rt_sand_l,brake_rt_sand_m,brake_rt_sand_h,brake_rt_ice_l,brake_rt_ice_m,brake_rt_ice_h
1,0.7,0.5,0.3,0.981,0.981,0.981,0.971,0.971,0.971
2,0.7,0.5,0.3,0.982,0.982,0.982,0.972,0.972,0.972
3,0.7,0.5,0.3,0.983,0.983,0.983,0.973,0.973,0.973
4,0.7,0.5,0.3,0.984,0.984,0.984,0.974,0.974,0.974
5,0.7,0.5,0.3,0.985,0.985,0.985,0.975,0.975,0.975
6,0.7,0.5,0.3,0.986,0.986,0.986,0.976,0.976,0.976
7,0.7,0.5,0.3,0.987,0.987,0.987,0.977,0.977,0.977
8,0.7,0.5,0.3,0.988,0.988,0.988,0.978,0.978,0.978
9,0.7,0.5,0.3,0.989,0.989,0.989,0.979,0.979,0.979
10,0.7,0.5,0.3,0.99,0.99,0.99,0.98,0.98,0.98
11,0.7,0.5,0.3,0.991,0.991,0.991,0.981,0.981,0.981
12,0.7,0.5,0.3,0.992,0.992,0.992,0.982,0.982,0.982
13,0.7,0.5,0.3,0.993,0.993,0.993,0.983,0.983,0.983
14,0.7,0.5,0.3,0.994,0.994,0.994,0.984,0.984,0.984
15,0.7,0.5,0.3,0.995,0.995,0.995,0.985,0.985,0.985
16,0.7,0.5,0.3,0.996,0.996,0.996,0.986,0.986,0.986
17,0.7,0.5,0.3,0.997,0.997,0.997,0.987,0.987,0.987
18,0.7,0.5,0.3,0.998,0.998,0.998,0.988,0.988,0.988
19,0.7,0.5,0.3,0.999,0.999,0.999,0.989,0.989,0.989
20,0.7,0.5,0.3,1,1,1,0.99,0.99,0.99
Default,0.7,0.5,0.3,0.981,0.981,0.981,0.981,0.981,0.981
