level,drive_spd_max_fwd_l,drive_spd_max_fwd_h,float_spd_max_fwd_l,float_spd_max_fwd_h,spd_max_fwd_l,spd_max_fwd_h,wing_spd_max_fwd_n
1,7.475,7.975,7.475,7.975,7.475,7.975,7.595
2,7.5,8,7.5,8,7.5,8,7.64
3,7.525,8.025,7.525,8.025,7.525,8.025,7.685
4,7.55,8.05,7.55,8.05,7.55,8.05,7.73
5,7.575,8.075,7.575,8.075,7.575,8.075,7.775
6,7.6,8.1,7.6,8.1,7.6,8.1,7.82
7,7.625,8.125,7.625,8.125,7.625,8.125,7.865
8,7.65,8.15,7.65,8.15,7.65,8.15,7.91
9,7.675,8.175,7.675,8.175,7.675,8.175,7.955
10,7.7,8.2,7.7,8.2,7.7,8.2,8
11,7.725,8.225,7.725,8.225,7.725,8.225,8.045
12,7.75,8.25,7.75,8.25,7.75,8.25,8.09
13,7.775,8.275,7.775,8.275,7.775,8.275,8.135
14,7.8,8.3,7.8,8.3,7.8,8.3,8.18
15,7.825,8.325,7.825,8.325,7.825,8.325,8.225
16,7.85,8.35,7.85,8.35,7.85,8.35,8.27
17,7.875,8.375,7.875,8.375,7.875,8.375,8.315
18,7.9,8.4,7.9,8.4,7.9,8.4,8.36
19,7.925,8.425,7.925,8.425,7.925,8.425,8.405
20,7.95,8.45,7.95,8.45,7.95,8.45,8.45
Default,7.6,8.1,7.6,8.1,7.6,8.1,7.82
