Driver,Kart,Tires,Glider,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling,key
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.75,2.25,4,3.5,2.5,2.25,2.5,2,3.75,3.75,4.25,3.75,23.752.2543.52.52.252.522.53.754.253.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.75,2.5,3.75,3.5,2.5,2,2.5,2,3.75,4,4,3.75,2.253.752.53.753.52.522.522.5443.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,3.5,2.25,4,3.25,2.75,2.25,2.25,2.25,3.75,3.75,4.25,3.5,2.253.52.2543.252.752.252.252.252.753.754.253.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",2.5,3.5,2.5,3.75,3.25,2.75,2,2.5,2.25,3.75,4,4,3.5,2.53.52.53.753.252.7522.52.252.75443.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",3,2.5,2.25,3.75,2.25,3.25,2.5,2.25,2,3.5,3.5,3.5,3.25,32.52.253.752.253.252.52.2523.253.53.53.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,2.5,2.5,3.5,2.25,3.25,2.25,2.25,2,3.5,3.75,3.25,3.25,3.252.52.53.52.253.252.252.2523.253.753.253.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",3.25,2.25,2.25,3.75,2,3.5,2.5,2,2.25,3.5,3.5,3.5,3,3.252.252.253.7523.52.522.253.53.53.53
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",3.5,2.25,2.5,3.5,2,3.5,2.25,2.25,2.25,3.5,3.75,3.25,3,3.52.252.53.523.52.252.252.253.53.753.253
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",3,3,2.75,5,2.75,2.75,2.25,2.5,1.75,3,3.25,3.25,3.5,332.7552.752.752.252.51.752.753.253.253.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,3,3,4.75,2.75,2.75,2,2.5,1.75,3,3.5,3,3.5,3.25334.752.752.7522.51.752.753.533.5
